ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.7,5.5,3.4,3.1,6.0,3.9,R2score
SVR,2.7,4.5,5.1,3.8,3.4,4.5,4.0,R2score
KNNR,1.4,6.4,4.9,3.6,3.3,4.3,4.1,R2score
GBR,1.9,5.1,4.7,3.6,2.7,5.8,4.2,R2score
MLPR,2.2,4.2,4.7,4.0,3.7,4.6,4.6,R2score
SGDR,1.3,5.3,4.3,4.1,3.1,5.2,4.7,R2score
RNR,1.8,5.4,5.4,3.7,2.5,4.2,5.0,R2score
RFR,1.9,4.9,4.8,3.5,2.7,5.0,5.2,R2score
avarage,1.95,4.94,4.93,3.71,3.06,4.95,4.46,R2score
std,0.48,0.83,0.4,0.24,0.41,0.68,0.48,R2score
