ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.3,4.5,4.9,4.3,3.8,4.8,3.4,MSE
ABR,2.5,3.9,5.4,3.5,3.2,6.0,3.5,MSE
SVR,2.8,4.5,5.1,3.9,3.5,4.6,3.6,MSE
KNNR,1.5,6.3,4.9,3.7,3.4,4.4,3.8,MSE
SGDR,1.5,5.2,4.4,4.3,3.3,5.2,4.1,MSE
RNR,1.9,5.5,5.4,3.7,2.6,4.3,4.6,MSE
GBR,1.7,4.7,5.1,3.4,2.6,5.8,4.7,MSE
RFR,2.0,5.0,4.9,3.3,2.8,5.1,4.9,MSE
avarage,2.03,4.95,5.01,3.76,3.15,5.02,4.07,MSE
std,0.47,0.73,0.32,0.38,0.44,0.63,0.59,MSE
