ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
MLPR,2.2,4.4,4.9,4.2,3.9,4.8,3.6,R2score
ABR,2.5,3.8,5.4,3.5,3.1,6.1,3.6,R2score
SVR,2.7,4.6,5.1,3.8,3.4,4.5,3.9,R2score
SGDR,1.3,5.5,4.3,4.3,3.3,5.2,4.1,R2score
KNNR,1.3,6.3,4.9,3.5,3.4,4.4,4.2,R2score
GBR,1.9,5.0,4.7,3.5,2.9,5.8,4.2,R2score
RFR,2.0,5.1,5.0,3.4,2.9,5.1,4.5,R2score
RNR,1.9,5.5,5.4,3.7,2.6,4.3,4.6,R2score
avarage,1.98,5.02,4.96,3.74,3.19,5.02,4.09,R2score
std,0.5,0.77,0.36,0.34,0.4,0.66,0.37,R2score
