ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.5,3.8,5.5,3.4,3.2,6.0,3.6,MSE
SVR,2.6,4.3,5.1,3.8,3.4,4.6,4.2,MSE
MLPR,2.2,4.1,4.8,4.2,3.6,4.5,4.6,MSE
GBR,1.8,4.9,5.0,3.4,2.5,5.7,4.7,MSE
KNNR,1.4,6.1,4.8,3.5,3.1,4.3,4.8,MSE
SGDR,1.5,5.1,4.3,4.0,3.0,4.9,5.2,MSE
RFR,1.9,4.9,4.8,3.3,2.8,5.0,5.3,MSE
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,MSE
avarage,1.96,4.82,4.96,3.65,2.99,4.88,4.74,MSE
std,0.44,0.75,0.38,0.32,0.44,0.68,0.62,MSE
