ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.7,4.5,5.1,3.8,3.4,4.5,4.0,R2score
ABR,2.4,3.6,5.4,3.3,3.2,6.0,4.1,R2score
KNNR,1.3,6.4,4.9,3.6,3.3,4.3,4.2,R2score
GBR,2.0,5.0,4.7,3.6,2.7,5.8,4.2,R2score
MLPR,2.2,4.1,4.8,4.1,3.7,4.6,4.5,R2score
RFR,2.0,5.1,4.9,3.5,2.8,5.0,4.7,R2score
SGDR,1.3,5.2,4.3,4.1,3.1,5.1,4.9,R2score
RNR,1.8,5.4,5.4,3.7,2.4,4.2,5.1,R2score
avarage,1.96,4.91,4.94,3.71,3.08,4.94,4.46,R2score
std,0.49,0.86,0.37,0.28,0.42,0.67,0.4,R2score
