ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.6,3.8,5.5,3.4,3.2,5.9,3.6,MSE
MLPR,2.2,4.1,4.8,4.3,3.8,4.7,4.1,MSE
SVR,2.6,4.4,5.1,3.8,3.4,4.6,4.1,MSE
GBR,1.8,5.0,5.1,3.5,2.6,5.8,4.2,MSE
KNNR,1.4,6.1,4.8,3.5,3.1,4.3,4.8,MSE
RFR,1.9,5.0,4.8,3.4,2.9,5.1,4.9,MSE
SGDR,1.5,5.2,4.3,4.0,3.0,5.0,5.0,MSE
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,MSE
avarage,1.98,4.88,4.98,3.69,3.04,4.93,4.52,MSE
std,0.46,0.75,0.38,0.32,0.46,0.67,0.62,MSE
