ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.8,5.4,3.6,3.2,6.1,3.5,R2score
MLPR,2.2,4.5,4.9,4.1,3.9,4.7,3.7,R2score
KNNR,1.4,6.4,4.9,3.6,3.4,4.3,4.0,R2score
SVR,2.7,4.5,5.1,3.8,3.4,4.5,4.0,R2score
SGDR,1.3,5.3,4.3,4.2,3.3,5.2,4.4,R2score
GBR,1.8,4.9,4.7,3.5,2.9,5.8,4.4,R2score
RFR,2.0,5.1,4.9,3.6,2.8,5.0,4.6,R2score
RNR,1.8,5.5,5.4,3.7,2.6,4.3,4.7,R2score
avarage,1.95,5.0,4.95,3.76,3.19,4.99,4.16,R2score
std,0.48,0.78,0.36,0.26,0.41,0.68,0.43,R2score
