ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.2,5.8,4.0,4.0,4.75,1.8,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.9,2.6,MAX
ABR,3.2,3.6,4.7,3.9,3.6,5.7,3.3,MAX
MLPR,3.3,4.0,4.4,4.7,4.0,4.0,3.6,MAX
RNR,5.2,2.0,4.7,4.2,4.6,3.6,3.7,MAX
GBR,3.7,2.7,4.8,3.5,3.5,6.1,3.7,MAX
SGDR,4.8,3.6,3.8,4.1,4.5,3.4,3.8,MAX
RFR,4.7,2.1,4.4,3.6,4.2,4.9,4.1,MAX
avarage,4.07,3.19,4.69,4.02,4.04,4.67,3.32,MAX
std,0.76,0.83,0.57,0.38,0.39,0.96,0.76,MAX
