ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.5,3.8,5.4,3.5,3.1,6.1,3.6,R2score
SVR,2.6,4.4,5.1,3.8,3.4,4.5,4.2,R2score
GBR,2.0,5.0,4.8,3.5,2.8,5.7,4.2,R2score
MLPR,2.2,4.1,4.8,4.2,3.7,4.7,4.3,R2score
KNNR,1.3,6.3,4.8,3.5,3.1,4.3,4.7,R2score
RFR,1.9,4.9,4.8,3.5,2.9,5.0,5.0,R2score
SGDR,1.3,5.3,4.3,4.0,3.0,4.9,5.2,R2score
RNR,1.8,5.4,5.4,3.6,2.3,3.9,5.6,R2score
avarage,1.95,4.9,4.93,3.7,3.04,4.89,4.6,R2score
std,0.49,0.8,0.37,0.27,0.41,0.72,0.65,R2score
