ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.3,3.9,5.4,3.5,3.2,5.7,4.0,MAE
SVR,2.8,4.1,5.4,3.0,3.1,5.4,4.2,MAE
MLPR,2.3,4.1,4.7,4.1,4.0,4.5,4.3,MAE
KNNR,1.4,6.2,4.7,3.5,3.3,4.3,4.6,MAE
GBR,1.5,5.1,4.8,3.4,3.1,5.5,4.6,MAE
RFR,1.4,5.7,4.3,3.5,3.8,3.9,5.4,MAE
SGDR,1.4,5.2,4.1,4.0,3.0,4.8,5.5,MAE
RNR,2.0,5.8,4.3,3.7,2.4,3.8,6.0,MAE
avarage,1.89,5.01,4.71,3.59,3.24,4.74,4.82,MAE
std,0.54,0.88,0.49,0.35,0.49,0.73,0.72,MAE
