ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.2,5.8,4.0,4.0,4.85,1.7,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.9,2.6,MAX
MLPR,3.5,4.1,4.7,4.6,3.9,4.1,3.1,MAX
RFR,4.8,2.2,4.4,3.8,4.4,5.0,3.4,MAX
RNR,5.2,2.1,4.7,4.1,4.6,3.7,3.6,MAX
SGDR,4.8,3.7,3.8,4.0,4.5,3.5,3.7,MAX
ABR,3.1,3.6,4.6,3.8,3.5,5.7,3.7,MAX
GBR,3.7,2.7,4.8,3.5,3.4,6.1,3.8,MAX
avarage,4.09,3.24,4.71,4.0,4.02,4.73,3.2,MAX
std,0.77,0.82,0.56,0.33,0.45,0.92,0.73,MAX
