ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.7,5.4,3.5,3.3,6.0,3.7,R2score
MLPR,2.2,4.5,4.7,4.2,3.9,4.7,3.8,R2score
SVR,2.7,4.4,5.1,3.8,3.4,4.5,4.1,R2score
KNNR,1.3,6.4,4.9,3.6,3.3,4.3,4.2,R2score
GBR,1.9,5.1,4.7,3.6,2.7,5.7,4.3,R2score
SGDR,1.3,5.4,4.3,4.2,3.1,5.2,4.5,R2score
RFR,1.9,5.0,4.9,3.5,2.7,5.1,4.9,R2score
RNR,1.8,5.4,5.4,3.7,2.5,4.2,5.0,R2score
avarage,1.94,4.99,4.93,3.76,3.11,4.96,4.31,R2score
std,0.49,0.81,0.37,0.29,0.46,0.65,0.47,R2score
