ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.3,3.7,5.4,3.6,3.0,6.0,4.0,R2score
SVR,2.7,4.4,5.1,3.8,3.4,4.5,4.1,R2score
GBR,2.0,5.2,4.7,3.5,2.8,5.7,4.1,R2score
KNNR,1.4,6.3,4.8,3.5,3.1,4.3,4.6,R2score
MLPR,2.2,4.2,4.8,4.1,3.6,4.5,4.6,R2score
RFR,1.9,4.8,4.9,3.5,2.9,5.0,5.0,R2score
SGDR,1.3,5.3,4.3,4.0,3.0,4.9,5.2,R2score
RNR,1.8,5.4,5.4,3.6,2.3,3.9,5.6,R2score
avarage,1.95,4.91,4.93,3.7,3.01,4.85,4.65,R2score
std,0.46,0.81,0.37,0.24,0.39,0.71,0.58,R2score
