ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.8,4.6,5.1,3.9,3.5,4.6,3.5,R2score
MLPR,2.2,4.5,4.9,4.2,3.9,4.7,3.6,R2score
ABR,2.4,3.8,5.4,3.5,3.2,6.1,3.6,R2score
GBR,1.9,5.1,4.8,3.6,2.8,5.8,4.0,R2score
KNNR,1.3,6.3,4.8,3.5,3.2,4.3,4.6,R2score
RNR,1.8,5.4,5.4,3.7,2.5,4.3,4.9,R2score
SGDR,1.3,5.2,4.2,4.1,3.1,5.1,5.0,R2score
RFR,1.8,4.8,4.9,3.5,2.7,5.1,5.2,R2score
avarage,1.94,4.96,4.94,3.75,3.11,5.0,4.3,R2score
std,0.52,0.73,0.39,0.28,0.45,0.67,0.7,R2score
