ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.2,4.1,5.3,3.6,3.3,5.7,3.8,MAE
MLPR,2.3,4.1,4.7,4.1,4.0,4.6,4.2,MAE
SVR,2.8,4.1,5.4,3.0,3.1,5.4,4.2,MAE
GBR,1.4,5.2,4.9,3.5,3.2,5.5,4.3,MAE
KNNR,1.4,6.2,4.7,3.5,3.3,4.3,4.6,MAE
RFR,1.4,5.7,4.3,3.6,3.9,4.0,5.1,MAE
SGDR,1.4,5.2,4.1,4.0,3.0,4.9,5.4,MAE
RNR,2.0,5.9,4.3,3.7,2.4,3.8,5.9,MAE
avarage,1.86,5.06,4.71,3.62,3.28,4.78,4.69,MAE
std,0.54,0.86,0.47,0.34,0.51,0.72,0.71,MAE
