ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.7,4.5,5.1,3.8,3.4,4.6,3.9,MSE
ABR,2.4,3.8,5.4,3.4,3.2,5.9,3.9,MSE
MLPR,2.3,4.3,4.7,4.2,3.8,4.7,4.0,MSE
KNNR,1.4,6.2,4.9,3.6,3.4,4.4,4.1,MSE
SGDR,1.5,5.0,4.3,4.2,3.2,5.2,4.6,MSE
RNR,1.9,5.4,5.4,3.7,2.6,4.3,4.7,MSE
RFR,1.9,4.9,4.9,3.5,2.8,5.2,4.8,MSE
GBR,1.7,4.7,5.0,3.4,2.6,5.8,4.8,MSE
avarage,1.98,4.85,4.96,3.72,3.12,5.01,4.35,MSE
std,0.46,0.73,0.36,0.32,0.43,0.61,0.41,MSE
