ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.3,4.2,5.4,3.5,3.2,5.8,3.6,MAE
SVR,2.8,4.1,5.4,3.0,3.1,5.4,4.2,MAE
GBR,1.4,5.1,5.0,3.6,3.1,5.6,4.2,MAE
MLPR,2.3,4.1,4.6,4.1,4.1,4.5,4.3,MAE
KNNR,1.3,6.1,4.7,3.5,3.4,4.3,4.7,MAE
RFR,1.4,5.7,4.3,3.6,3.8,4.0,5.2,MAE
SGDR,1.4,5.2,4.0,4.0,3.1,5.0,5.3,MAE
RNR,2.1,5.8,4.3,3.8,2.5,4.1,5.4,MAE
avarage,1.88,5.04,4.71,3.64,3.29,4.84,4.61,MAE
std,0.57,0.81,0.52,0.34,0.49,0.71,0.64,MAE
