ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.2,5.8,4.1,4.0,4.95,1.5,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.7,2.8,MAX
GBR,3.8,2.6,4.8,3.5,3.5,6.1,3.7,MAX
MLPR,3.4,3.8,4.5,4.6,3.8,4.1,3.8,MAX
SGDR,4.8,3.7,3.8,4.0,4.5,3.4,3.8,MAX
ABR,3.1,3.6,4.5,3.7,3.5,5.8,3.8,MAX
RNR,5.2,2.0,4.7,4.1,4.6,3.5,3.9,MAX
RFR,4.7,2.1,4.2,3.6,4.3,4.9,4.2,MAX
avarage,4.08,3.16,4.65,3.98,4.01,4.68,3.44,MAX
std,0.76,0.83,0.58,0.36,0.42,0.98,0.88,MAX
