ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.1,5.8,3.9,3.9,4.75,2.1,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.8,2.7,MAX
ABR,3.3,3.8,4.7,3.8,3.6,5.8,3.0,MAX
GBR,3.9,2.7,4.8,3.6,3.6,6.1,3.3,MAX
SGDR,4.8,3.6,3.8,4.0,4.5,3.5,3.8,MAX
RNR,5.2,2.0,4.7,4.2,4.5,3.5,3.9,MAX
MLPR,3.4,3.8,4.5,4.6,3.7,4.1,3.9,MAX
RFR,4.6,2.1,4.1,3.6,4.2,4.9,4.5,MAX
avarage,4.11,3.18,4.66,3.99,3.99,4.68,3.4,MAX
std,0.71,0.81,0.59,0.34,0.37,0.96,0.78,MAX
