ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.8,4.6,5.1,3.9,3.5,4.6,3.5,R2score
ABR,2.4,3.8,5.4,3.5,3.1,6.1,3.7,R2score
KNNR,1.3,6.3,4.8,3.6,3.3,4.4,4.3,R2score
MLPR,2.2,4.3,4.7,4.1,3.8,4.6,4.3,R2score
SGDR,1.3,5.3,4.4,4.2,3.3,5.2,4.3,R2score
RNR,1.9,5.5,5.4,3.7,2.6,4.3,4.6,R2score
GBR,1.8,4.8,4.6,3.4,2.8,5.9,4.7,R2score
RFR,1.9,4.9,5.0,3.4,2.9,5.0,4.9,R2score
avarage,1.95,4.94,4.93,3.72,3.16,5.01,4.29,R2score
std,0.52,0.77,0.37,0.31,0.39,0.68,0.48,R2score
