ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.25,4.0,5.7,3.8,3.8,4.75,2.7,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.8,2.7,MAX
RFR,4.7,2.1,4.4,3.7,4.3,5.0,3.8,MAX
MLPR,3.3,3.9,4.6,4.5,3.7,4.2,3.8,MAX
ABR,3.3,3.5,4.6,3.7,3.4,5.7,3.8,MAX
GBR,3.7,2.5,4.8,3.5,3.6,6.1,3.8,MAX
RNR,5.2,2.0,4.7,4.1,4.5,3.6,3.9,MAX
SGDR,4.8,3.7,3.8,4.0,4.4,3.4,3.9,MAX
avarage,4.06,3.12,4.69,3.94,3.95,4.69,3.55,MAX
std,0.78,0.81,0.53,0.32,0.4,0.94,0.53,MAX
