ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.1,5.8,4.1,4.0,4.85,1.7,MAX
SVR,4.2,3.3,5.0,4.2,3.9,4.9,2.5,MAX
MLPR,3.4,3.9,4.6,4.7,3.9,4.1,3.4,MAX
GBR,3.8,2.6,4.9,3.7,3.7,5.9,3.4,MAX
RFR,4.8,2.2,4.4,3.8,4.4,4.9,3.5,MAX
RNR,5.2,2.0,4.7,4.2,4.6,3.7,3.6,MAX
ABR,3.2,3.6,4.6,3.8,3.4,5.8,3.6,MAX
SGDR,4.8,3.7,3.8,4.1,4.5,3.3,3.8,MAX
avarage,4.11,3.18,4.72,4.07,4.05,4.68,3.19,MAX
std,0.76,0.8,0.57,0.32,0.42,0.93,0.72,MAX
