ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.2,5.8,4.0,3.9,4.75,1.9,MAX
SVR,4.2,3.3,5.0,4.2,3.9,4.9,2.5,MAX
RNR,5.2,2.1,4.7,4.2,4.6,3.9,3.3,MAX
SGDR,4.8,3.8,3.8,4.1,4.5,3.5,3.5,MAX
RFR,4.9,2.1,4.4,3.7,4.4,4.9,3.6,MAX
MLPR,3.4,4.0,4.5,4.6,3.9,4.0,3.6,MAX
GBR,3.8,2.6,4.7,3.5,3.6,6.0,3.8,MAX
ABR,3.1,3.6,4.5,3.8,3.4,5.6,4.0,MAX
avarage,4.11,3.21,4.68,4.01,4.02,4.69,3.28,MAX
std,0.79,0.84,0.57,0.34,0.43,0.86,0.71,MAX
