ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.1,5.8,4.1,4.0,4.65,2.0,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.8,2.7,MAX
MLPR,3.4,4.1,4.7,4.7,4.0,4.2,2.9,MAX
GBR,3.8,2.6,4.8,3.6,3.7,6.1,3.4,MAX
SGDR,4.8,3.6,3.8,4.1,4.6,3.5,3.6,MAX
RNR,5.2,2.0,4.7,4.2,4.6,3.6,3.7,MAX
ABR,3.2,3.6,4.5,3.8,3.4,5.8,3.7,MAX
RFR,4.7,2.1,4.3,3.6,4.2,4.9,4.2,MAX
avarage,4.08,3.18,4.69,4.04,4.05,4.69,3.28,MAX
std,0.76,0.84,0.57,0.37,0.41,0.94,0.7,MAX
