ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.25,4.1,5.7,3.9,3.8,4.85,2.4,MAX
SVR,4.2,3.3,5.0,4.2,3.9,4.8,2.6,MAX
MLPR,3.5,4.0,4.6,4.5,3.8,4.1,3.5,MAX
ABR,3.1,3.7,4.6,3.8,3.5,5.7,3.6,MAX
RFR,4.8,2.1,4.3,3.7,4.3,5.0,3.8,MAX
RNR,5.2,2.0,4.7,4.1,4.5,3.6,3.9,MAX
GBR,3.7,2.5,4.8,3.5,3.4,6.1,4.0,MAX
SGDR,4.8,3.6,3.8,4.0,4.4,3.3,4.1,MAX
avarage,4.07,3.16,4.69,3.96,3.95,4.68,3.49,MAX
std,0.8,0.85,0.55,0.31,0.41,0.97,0.64,MAX
