ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.2,4.2,5.4,3.4,3.2,5.8,3.8,MAE
SVR,2.8,4.2,5.4,3.0,3.1,5.4,4.1,MAE
GBR,1.4,5.1,5.0,3.6,3.1,5.5,4.3,MAE
KNNR,1.4,6.1,4.7,3.5,3.4,4.3,4.6,MAE
MLPR,2.3,3.9,4.7,4.0,4.0,4.5,4.6,MAE
SGDR,1.4,5.2,4.1,4.1,3.1,5.0,5.1,MAE
RFR,1.4,5.6,4.4,3.7,3.7,4.0,5.2,MAE
RNR,2.1,5.9,4.3,3.8,2.5,4.1,5.3,MAE
avarage,1.88,5.02,4.75,3.64,3.26,4.82,4.62,MAE
std,0.55,0.84,0.49,0.35,0.45,0.69,0.54,MAE
