ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.9,5.4,3.5,3.3,6.0,3.5,MSE
SVR,2.7,4.3,5.1,3.8,3.4,4.6,4.1,MSE
GBR,1.9,5.1,5.1,3.5,2.6,5.7,4.1,MSE
MLPR,2.1,4.2,4.7,4.2,3.7,4.6,4.5,MSE
RFR,1.9,5.0,4.9,3.4,2.9,5.2,4.7,MSE
KNNR,1.4,6.1,4.8,3.5,3.2,4.3,4.7,MSE
SGDR,1.5,5.0,4.3,4.0,3.0,5.0,5.2,MSE
RNR,1.8,5.4,5.4,3.6,2.3,4.0,5.5,MSE
avarage,1.96,4.88,4.96,3.69,3.05,4.93,4.54,MSE
std,0.43,0.72,0.37,0.29,0.45,0.69,0.64,MSE
