ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.2,4.0,5.4,3.5,3.2,5.8,3.9,MAE
MLPR,2.3,4.1,4.7,4.2,4.1,4.5,4.1,MAE
SVR,2.8,4.1,5.4,3.0,3.1,5.4,4.2,MAE
GBR,1.5,5.1,4.9,3.4,3.1,5.5,4.5,MAE
KNNR,1.3,6.0,4.7,3.5,3.4,4.3,4.8,MAE
RFR,1.4,5.8,4.5,3.6,3.8,4.0,4.9,MAE
SGDR,1.4,5.2,4.1,4.0,3.1,5.0,5.2,MAE
RNR,2.1,5.8,4.3,3.8,2.5,4.0,5.5,MAE
avarage,1.88,5.01,4.75,3.62,3.29,4.81,4.64,MAE
std,0.55,0.84,0.47,0.37,0.49,0.71,0.56,MAE
