ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.4,3.8,5.4,3.5,3.1,6.1,3.7,R2score
SVR,2.7,4.6,5.1,3.8,3.4,4.5,3.9,R2score
MLPR,2.2,4.4,4.8,4.1,3.7,4.7,4.1,R2score
GBR,2.0,5.1,4.7,3.6,2.7,5.8,4.1,R2score
KNNR,1.3,6.3,4.9,3.5,3.2,4.3,4.5,R2score
RFR,1.8,5.0,5.0,3.5,2.8,5.1,4.8,R2score
SGDR,1.3,5.3,4.3,4.0,3.1,5.0,5.0,R2score
RNR,1.8,5.4,5.4,3.7,2.4,4.2,5.1,R2score
avarage,1.94,4.99,4.95,3.71,3.05,4.96,4.4,R2score
std,0.5,0.75,0.37,0.24,0.41,0.69,0.53,R2score
