ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.1,5.8,4.0,4.0,4.85,1.8,MAX
SVR,4.2,3.3,5.0,4.2,3.9,4.9,2.5,MAX
ABR,3.3,3.6,4.7,3.8,3.6,5.7,3.3,MAX
GBR,3.8,2.6,4.8,3.6,3.7,6.1,3.4,MAX
RFR,4.8,2.2,4.4,3.8,4.3,5.0,3.5,MAX
MLPR,3.4,4.0,4.5,4.6,3.8,4.1,3.6,MAX
RNR,5.2,2.0,4.7,4.1,4.6,3.6,3.8,MAX
SGDR,4.8,3.6,3.8,4.0,4.4,3.4,4.0,MAX
avarage,4.12,3.18,4.71,4.01,4.04,4.71,3.24,MAX
std,0.74,0.81,0.57,0.3,0.36,0.95,0.73,MAX
