ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.1,5.8,3.9,3.8,4.65,2.4,MAX
SVR,4.2,3.3,5.0,4.2,3.9,4.9,2.5,MAX
ABR,3.2,3.7,4.7,3.9,3.6,5.8,3.1,MAX
RFR,4.9,2.1,4.6,3.7,4.5,5.0,3.2,MAX
RNR,5.2,2.1,4.7,4.2,4.6,3.8,3.4,MAX
MLPR,3.4,3.9,4.6,4.7,3.9,4.1,3.4,MAX
SGDR,4.8,3.8,3.8,4.1,4.6,3.5,3.4,MAX
GBR,3.8,2.6,4.7,3.5,3.6,5.9,3.9,MAX
avarage,4.11,3.2,4.74,4.02,4.06,4.71,3.16,MAX
std,0.78,0.82,0.55,0.37,0.43,0.88,0.5,MAX
