ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.35,4.1,5.8,3.9,3.9,4.85,2.1,MAX
SVR,4.2,3.3,5.0,4.2,3.9,4.9,2.5,MAX
RFR,4.8,2.1,4.4,3.8,4.3,5.0,3.6,MAX
ABR,3.3,3.6,4.6,3.7,3.5,5.7,3.6,MAX
RNR,5.2,2.0,4.7,4.1,4.5,3.7,3.8,MAX
MLPR,3.4,3.8,4.5,4.5,3.7,4.0,4.1,MAX
SGDR,4.8,3.6,3.8,4.0,4.4,3.3,4.1,MAX
GBR,3.7,2.5,4.8,3.4,3.4,6.0,4.2,MAX
avarage,4.09,3.12,4.7,3.95,3.95,4.68,3.5,MAX
std,0.76,0.81,0.57,0.33,0.41,0.95,0.78,MAX
