ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.2,5.8,4.1,4.1,4.75,1.6,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.8,2.7,MAX
ABR,3.3,3.8,4.7,3.9,3.6,5.8,2.9,MAX
RFR,4.8,2.2,4.3,3.8,4.4,4.9,3.6,MAX
RNR,5.2,2.0,4.7,4.1,4.6,3.6,3.8,MAX
SGDR,4.8,3.7,3.8,4.0,4.5,3.4,3.8,MAX
GBR,3.7,2.7,4.8,3.4,3.5,6.1,3.8,MAX
MLPR,3.3,3.8,4.3,4.6,3.8,3.9,4.3,MAX
avarage,4.09,3.21,4.66,4.01,4.05,4.66,3.31,MAX
std,0.76,0.82,0.58,0.34,0.42,0.98,0.87,MAX
