ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
ABR,2.5,3.9,5.5,3.4,3.3,6.0,3.4,MSE
MLPR,2.2,4.4,4.8,4.3,3.8,4.7,3.8,MSE
SVR,2.7,4.5,5.1,3.8,3.4,4.6,3.9,MSE
KNNR,1.5,6.3,4.9,3.6,3.3,4.3,4.1,MSE
SGDR,1.5,5.2,4.3,4.2,3.1,5.2,4.5,MSE
RFR,1.9,5.0,5.0,3.5,2.8,5.2,4.6,MSE
GBR,1.7,4.9,5.2,3.4,2.5,5.7,4.6,MSE
RNR,1.8,5.4,5.4,3.7,2.5,4.2,5.0,MSE
avarage,1.98,4.95,5.02,3.74,3.09,4.99,4.24,MSE
std,0.45,0.73,0.38,0.35,0.46,0.65,0.53,MSE
