ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.1,5.8,4.1,4.0,4.65,1.9,MAX
SVR,4.2,3.3,4.9,4.2,3.9,4.7,2.8,MAX
MLPR,3.5,4.1,4.6,4.6,3.9,4.2,3.1,MAX
RFR,4.8,2.3,4.4,3.8,4.4,4.9,3.4,MAX
RNR,5.2,2.0,4.7,4.2,4.6,3.7,3.6,MAX
SGDR,4.8,3.7,3.8,4.1,4.5,3.4,3.7,MAX
GBR,3.7,2.5,4.8,3.4,3.5,6.1,4.0,MAX
ABR,3.0,3.5,4.5,3.8,3.4,5.5,4.3,MAX
avarage,4.08,3.19,4.69,4.02,4.02,4.64,3.35,MAX
std,0.79,0.82,0.56,0.36,0.45,0.89,0.75,MAX
