ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
KNNR,3.45,4.1,5.7,3.9,3.9,4.65,2.3,MAX
SVR,4.2,3.3,5.0,4.2,3.9,5.0,2.4,MAX
RNR,5.2,2.2,4.7,4.2,4.6,3.8,3.3,MAX
ABR,3.1,3.6,4.6,4.0,3.6,5.8,3.3,MAX
GBR,3.8,2.7,4.7,3.7,3.7,6.0,3.4,MAX
SGDR,4.8,3.7,3.8,4.1,4.6,3.5,3.5,MAX
RFR,4.8,2.1,4.4,3.7,4.3,5.0,3.7,MAX
MLPR,3.3,3.8,4.5,4.6,3.9,4.0,3.9,MAX
avarage,4.08,3.19,4.68,4.05,4.06,4.72,3.22,MAX
std,0.79,0.76,0.54,0.3,0.39,0.91,0.58,MAX
