ALGORITHM,RANK_ORIGINAL,RANK_SMOTE,RANK_SMOTE_SVM,RANK_BORDERLINE1,RANK_BORDERLINE2,RANK_GEOMETRIC_SMOTE,RANK_DTO,unit
SVR,2.8,4.7,5.1,3.9,3.5,4.6,3.4,R2score
ABR,2.4,3.8,5.4,3.5,3.2,6.0,3.7,R2score
MLPR,2.2,4.4,4.9,4.2,3.7,4.7,3.9,R2score
GBR,1.9,5.1,4.8,3.5,2.9,5.7,4.1,R2score
KNNR,1.3,6.3,4.9,3.5,3.3,4.4,4.3,R2score
RNR,1.8,5.5,5.4,3.7,2.6,4.3,4.7,R2score
RFR,1.8,4.9,4.9,3.6,2.8,5.1,4.9,R2score
SGDR,1.3,5.2,4.2,4.1,3.2,5.1,4.9,R2score
avarage,1.94,4.99,4.95,3.75,3.15,4.99,4.24,R2score
std,0.52,0.75,0.38,0.28,0.37,0.61,0.56,R2score
